Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
ADAMS CENTRAL COMMUNITY SCHOOLS,Indiana,1800060,75.00,83.50,15.61,14.02,0,5.00,37.00,33.00,0,162.00,20.00,2.00,1.00,2.00,†,3.00,2.00,4.00,3.00,0,3.00,6.00,1.00,43.00
ADAMS CENTRAL PUBLIC SCHOOLS,Nebraska,3102770,67.16,67.16,13.15,13.15,0,3.00,31.26,32.90,†,121.26,15.50,3.10,="0.50",1.50,†,2.00,1.00,1.00,2.00,1.00,4.00,4.50,2.00,18.00
ADAMS COUNTY BOCES,Colorado,="0800009",0,†,†,†,0,0,0,0,†,3.00,0,0,0,0,†,0,0,0,1.00,2.00,0,0,0,0
ADAMS COUNTY/OHIO VALLEY LOCAL,Ohio,3906190,259.01,258.21,15.78,15.82,6.00,18.48,97.61,134.06,2.86,558.77,53.00,2.00,–,–,7.70,7.70,="0.34",0,2.00,20.00,15.00,16.70,57.50,125.52
ADAMS TOWNSHIP SCHOOL DISTRICT,Michigan,2601890,24.77,24.77,18.41,18.17,0,1.60,10.83,10.34,2.00,46.20,2.00,0,0,="0.83",†,="0.83",0,0,4.00,="0.20",0,3.00,1.00,10.40
ADAMS-ARAP 28J AURORA,Colorado,="0800255",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADAMS-CHESHIRE,Massachusetts,2501780,103.51,103.51,15.01,15.01,2.00,6.00,49.00,46.51,†,203.51,61.50,0,0,3.00,†,3.00,1.00,2.00,5.00,0,5.00,10.00,12.50,0
ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT,Wisconsin,5500060,142.12,142.12,12.74,12.74,6.00,8.00,54.22,73.90,0,268.90,28.53,3.25,2.00,4.00,†,6.00,2.00,0,3.00,5.90,5.90,11.55,8.30,52.35
ADAMS-WELLS SPECIAL SERVICES COOP,Indiana,1800100,70.00,†,0,†,4.00,0,35.00,29.00,2.00,171.00,91.00,0,0,0,†,0,0,0,1.00,0,0,3.00,6.00,0
ADAMS/PIKE ROE,Illinois,1700162,0,†,†,†,0,0,0,0,0,="0.51",–,0,0,0,†,0,0,–,="0.51",–,0,–,0,–
ADDISON CENTRAL SCHOOL DISTRICT,New York,3602370,105.10,95.67,11.20,12.30,5.45,7.22,38.23,39.60,14.60,254.10,45.00,1.00,0,2.00,†,2.00,2.00,3.00,1.00,11.00,3.00,6.00,9.00,66.00
ADDISON CENTRAL SUPERVISORY UNION,Vermont,5099903,9.15,†,8.42,†,0,0,="0.20",0,8.95,44.86,9.21,2.30,="0.05",0,†,="0.05",0,0,3.00,13.05,0,2.50,5.40,="0.20"
ADDISON COMMUNITY SCHOOLS,Michigan,2601920,56.50,56.50,17.49,17.31,0,4.00,19.50,26.50,6.50,119.24,12.00,3.00,0,1.00,†,1.00,1.00,="0.90",1.10,1.00,2.90,8.00,2.60,29.24
ADDISON NORTHEAST SUPERVISORY UNION,Vermont,5099901,5.83,†,6.52,†,0,0,0,0,5.83,28.28,3.55,2.00,0,0,†,0,0,1.40,3.00,8.00,0,1.00,2.80,="0.70"
ADDISON NORTHWEST SUPERVISORY UNION,Vermont,5099902,13.00,†,5.00,†,1.00,0,0,0,12.00,28.10,2.70,3.00,0,0,†,0,0,0,2.00,4.80,0,1.00,="0.60",1.00
ADDISON RUTLAND SUPERVISORY UNION,Vermont,5099904,8.50,†,†,†,0,0,0,0,8.50,36.10,12.00,1.00,0,0,†,0,0,0,3.00,5.60,0,1.50,4.50,0
ADDISON SCHOOL DISTRICT,Vermont,5001710,11.50,11.50,9.39,9.30,0,1.00,9.50,0,1.00,22.60,4.20,0,="0.80",0,†,="0.80",="0.40",0,0,0,1.00,1.00,1.00,2.70
ADDISON SD 4,Illinois,1703150,263.88,260.88,16.57,16.74,10.89,12.00,240.99,0,0,307.91,–,0,1.00,0,†,1.00,4.00,–,6.83,–,12.00,–,20.20,–
ADEL DESOTO MINBURN COMM SCHOOL DISTRICT,Iowa,1903150,113.67,113.67,12.56,13.27,3.68,8.53,51.14,50.32,†,221.87,38.50,0,1.00,2.00,†,3.00,2.00,2.80,2.00,4.80,6.00,8.60,3.00,37.50
ADEL SD 21,Oregon,4100990,1.00,†,13.00,†,0,0,1.00,0,†,2.00,0,0,–,–,†,–,0,0,0,0,0,0,0,1.00
ADELAIDE L. SANFORD CHARTER SCHOOL,New Jersey,3400716,20.00,20.00,11.95,11.95,0,1.00,18.00,1.00,0,35.00,6.00,0,0,0,†,0,0,–,3.00,0,0,2.00,1.00,3.00
ADELANTO ELEMENTARY,California,="0601710",335.00,335.00,25.16,25.10,–,–,321.32,13.68,†,615.78,72.00,–,–,–,†,–,–,–,5.00,–,16.78,–,13.00,174.00
ADENA LOCAL,Ohio,3904949,73.64,72.50,16.84,17.10,1.50,4.47,37.42,30.25,0,142.28,7.00,0,–,–,2.00,2.00,1.00,2.00,2.00,5.14,3.00,4.00,6.00,36.50
ADIRONDACK CENTRAL SCHOOL DISTRICT,New York,3605040,123.27,108.96,11.32,12.80,1.08,7.32,50.72,52.96,11.19,275.06,29.50,1.40,0,2.50,†,2.50,1.00,5.00,3.33,11.50,5.00,4.56,6.00,82.00
ADLAI E STEVENSON HSD 125,Illinois,1732580,271.50,271.50,16.28,16.02,0,0,0,271.50,0,325.50,–,0,0,20.00,†,20.00,2.00,–,3.00,–,23.00,–,6.00,–
ADMIRAL PEARY AVTS,Pennsylvania,4280120,19.00,19.00,0,0,0,0,0,17.00,2.00,39.00,9.00,0,0,1.00,†,1.00,0,0,1.00,3.00,2.00,0,0,4.00
ADNA SCHOOL DISTRICT,Washington,5300060,34.47,34.49,17.35,17.34,0,2.00,14.31,17.79,="0.37",52.56,4.04,0,0,1.00,†,1.00,0,="0.48",1.00,1.88,2.00,2.34,0,5.35
ADRIAN ISD,Texas,4807500,16.17,16.17,8.10,8.10,="0.14",="0.14",6.55,8.13,1.21,27.19,2.93,0,–,–,†,–,0,="0.60",="0.76",1.00,0,0,0,5.73
ADRIAN PUBLIC SCHOOL DISTRICT,Minnesota,2702730,40.57,39.73,14.74,15.03,2.00,2.00,18.75,17.65,="0.17",76.09,15.64,0,0,0,†,0,="0.70",="0.13",1.00,2.00,2.00,3.75,4.07,6.23
ADRIAN R-III,Missouri,2902850,53.98,54.14,14.21,14.17,1.81,3.45,20.26,28.46,†,95.84,6.50,="0.50",1.00,1.00,†,2.00,="0.86",0,2.00,5.00,3.00,7.00,2.00,13.00
ADRIAN SCHOOL DISTRICT OF THE CITY OF,Michigan,2601950,217.68,213.58,15.38,15.52,30.60,14.00,79.81,66.58,26.69,396.48,12.69,8.65,0,4.00,†,4.00,1.00,3.61,17.25,2.00,5.00,25.75,17.78,81.07
ADRIAN SD 61,Oregon,4101020,17.28,17.28,14.24,14.24,0,1.17,9.20,6.91,†,40.35,7.94,="0.08",–,–,="0.17",="0.17",="0.80",0,="0.50",1.00,1.50,2.00,2.00,7.08
ADVANCE R-IV,Missouri,2902880,36.02,35.98,11.88,11.90,="0.94",2.36,17.25,15.47,†,52.22,2.00,0,0,0,†,0,0,0,0,4.00,1.00,0,="0.20",9.00
ADVANCED EDUCATION SERVICES,Arizona,="0400286",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ADVANCED EDUCATION SERVICES  INC.,Arizona,="0400188",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT),Massachusetts,2500085,61.17,61.17,13.09,13.09,0,0,61.17,0,†,89.07,4.90,0,1.00,0,†,1.00,0,2.00,4.50,6.00,1.50,4.00,4.00,0
ADVANCED TECHNOLOGY ACADEMY,Michigan,2600255,64.02,64.02,18.78,18.57,0,2.80,18.68,38.04,4.50,113.01,8.73,4.49,1.00,2.00,†,3.00,0,="0.75",3.17,="0.50",6.69,7.00,5.85,8.81
ADVANTAGE ACADEMY,Texas,4800041,110.31,110.31,13.66,13.66,0,6.92,42.22,54.88,6.29,197.98,0,1.00,–,–,†,–,0,0,2.00,7.75,3.50,19.95,12.00,41.47
ADVENTURE ACADEMIES OF AMERICA,Arizona,="0400443",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AEA 11 HEARTLAND AEA,Iowa,1999011,25.50,†,†,†,0,0,25.50,0,†,617.00,36.00,10.00,0,0,†,0,0,12.00,8.00,39.00,11.00,36.00,406.50,33.00
AEA 13 GREEN HILLS AEA,Iowa,1999013,21.00,†,†,†,0,0,21.00,0,†,263.50,48.60,3.50,0,0,†,0,1.00,5.20,3.00,22.20,12.00,0,130.50,16.50
AEA 14 GREEN VALLEY AEA,Iowa,1999014,8.50,†,†,†,0,0,8.50,0,†,86.70,10.80,3.00,0,0,†,0,1.00,2.20,4.00,3.00,1.00,4.00,44.00,5.20
AEA 267,Iowa,1999007,258.00,†,†,†,0,0,258.00,0,†,1052.40,324.90,1.00,0,0,†,0,1.00,27.00,18.50,53.00,15.80,16.00,288.00,49.20
AFFTON 101,Missouri,2902910,150.38,150.81,16.48,16.43,0,8.96,55.66,85.76,†,295.95,16.00,3.02,3.00,5.00,†,8.00,8.00,0,3.55,29.00,9.00,0,4.00,65.00
AFSA HIGH SCHOOL,Minnesota,2700186,14.56,14.56,13.53,13.87,0,0,0,14.56,0,30.99,5.18,1.20,0,0,†,0,0,0,1.83,0,1.00,0,2.87,4.35
AFTON,Oklahoma,4002520,34.90,34.90,12.64,12.64,2.00,2.00,19.50,11.40,†,61.70,6.00,0,="0.50",="0.50",†,1.00,="0.80",1.00,1.00,2.00,2.20,2.00,0,10.80
AFTON CENTRAL SCHOOL DISTRICT,New York,3602400,56.87,64.53,11.06,9.75,1.12,4.03,24.39,20.33,7.00,144.37,27.50,0,0,2.00,†,2.00,="0.50",2.00,3.00,7.50,2.00,2.00,3.00,38.00
AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3,South Dakota,4600042,26.94,26.94,10.32,10.32,0,1.00,13.72,7.47,4.75,47.06,2.00,0,–,–,1.00,1.00,="0.72",0,3.33,3.00,1.42,0,="0.80",7.85
AGATE SCHOOL DISTRICT NO. 300,Colorado,="0801980",8.87,8.86,5.07,5.08,0,="0.15",3.48,5.24,†,20.09,3.00,0,0,0,†,0,1.00,0,1.00,2.77,0,0,0,3.45
AGAWAM,Massachusetts,2501800,311.07,311.08,13.74,13.74,7.00,13.37,194.37,96.33,†,556.57,118.20,0,6.00,4.00,†,10.00,4.00,4.00,9.00,6.00,13.00,22.00,54.30,5.00
AGBU ALEX-MARIE MANOOGIAN SCHOOL,Michigan,2600106,21.90,21.90,16.99,16.80,0,1.00,7.03,12.27,1.60,37.79,="0.80",="0.35",1.00,0,†,1.00,="0.60",0,="0.30",1.00,1.70,3.00,2.30,4.84
AGORA CYBER CS,Pennsylvania,4200140,195.00,195.00,22.99,22.99,0,6.00,61.15,92.85,35.00,262.00,8.00,0,1.00,9.00,†,10.00,0,0,3.40,6.00,1.60,0,36.00,2.00
AGRA,Oklahoma,4002550,29.90,29.90,13.75,13.75,2.90,2.00,15.60,9.40,†,68.30,13.00,0,="0.30",="0.30",†,="0.60",="0.80",1.00,1.00,3.30,2.00,0,4.30,12.40
AGUA DULCE ISD,Texas,4807530,29.00,29.00,11.86,11.86,2.00,0,11.11,13.50,2.39,50.14,7.50,1.00,–,–,†,–,0,0,1.00,1.00,1.00,0,1.00,8.64
AGUA FRIA UNION HIGH SCHOOL DISTRICT,Arizona,="0400450",306.85,306.85,21.21,21.15,0,0,0,306.85,†,642.65,89.67,1.00,0,17.00,†,17.00,3.00,8.00,5.00,7.00,17.00,25.50,65.63,97.00
AGUILA ELEMENTARY DISTRICT,Arizona,="0400480",11.00,11.00,20.55,14.00,0,0,11.00,0,†,26.55,5.75,0,0,0,†,0,0,1.00,1.00,="0.80",0,1.30,3.00,2.70
AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6,Colorado,="0802010",15.67,15.67,8.49,8.49,1.00,="0.50",7.50,6.67,†,30.54,3.00,0,0,0,†,0,0,="0.50",1.00,3.00,1.00,0,2.52,3.85
AGWSR COMM SCHOOL DISTRICT,Iowa,1903060,52.45,52.45,12.49,10.77,2.25,2.84,20.53,26.83,†,103.25,12.40,1.00,0,1.00,†,1.00,1.00,2.40,2.00,1.80,3.00,3.40,1.00,21.80
AHWATUKEE FOOTHILLS PREP  INC.,Arizona,="0400418",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX,Arizona,="0400274",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
AIKEN 01,South Carolina,4500720,1471.00,1445.30,16.75,17.04,23.50,60.30,938.70,448.50,†,2143.90,360.90,17.40,32.10,18.00,†,50.10,40.70,1.00,19.00,2.00,87.00,0,94.50,="0.30"
AINSWORTH COMMUNITY SCHOOLS,Nebraska,3102790,44.75,44.75,11.28,11.28,="0.50",2.00,25.86,16.39,†,77.40,10.00,="0.75",1.34,="0.66",†,2.00,1.00,1.00,1.00,2.00,2.00,3.00,3.15,6.75
AIR ACADEMY CHARTER HIGH SCHOOL,Arizona,="0400287",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AIR ACADEMY CHARTER HIGH SCHOOL DBA THOMAS JEFFERSON HIGH SC,Arizona,="0400372",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AIRLINE CSD,Maine,2302500,4.60,4.60,15.22,10.22,0,0,4.60,0,†,11.70,="0.50",0,="0.20",0,†,="0.20",0,0,="0.50",0,="0.70",1.00,="0.40",3.80
AIRPORT COMMUNITY SCHOOLS,Michigan,2601980,147.37,147.37,19.16,18.96,0,6.00,51.17,68.20,22.00,284.00,29.48,2.00,0,5.00,†,5.00,2.00,1.00,1.00,1.00,10.01,15.50,14.82,54.82
AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL,Michigan,2600124,16.15,16.15,15.54,15.36,0,0,5.90,10.15,="0.10",29.31,0,0,0,0,†,0,0,0,="0.90",0,4.50,2.63,1.00,4.13
AITKIN PUBLIC SCHOOL DISTRICT,Minnesota,2702760,82.30,81.13,15.82,15.94,3.40,4.50,36.78,37.62,0,179.11,32.75,1.03,="0.17",1.17,†,1.34,1.00,4.78,3.10,3.00,2.64,8.75,10.32,28.10
AJO UNIFIED DISTRICT,Arizona,="0400520",30.00,30.00,15.63,15.63,0,1.00,20.00,9.00,†,56.32,10.76,0,="0.67",="0.33",†,1.00,0,0,2.00,0,1.00,0,5.56,6.00
AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL  INC.,Arizona,="0400404",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
AKIN CCSD 91,Illinois,1703210,9.89,9.89,13.14,13.14,0,1.00,8.89,0,0,9.89,–,0,0,0,†,0,0,–,0,–,0,–,0,–
AKRON CENTRAL SCHOOL DISTRICT,New York,3602430,120.34,107.64,12.72,14.22,0,7.71,44.10,52.86,15.67,249.93,23.10,1.00,1.33,2.66,†,3.99,2.00,0,4.00,17.30,4.00,1.00,4.00,69.20
AKRON CITY,Ohio,3904348,1773.53,1752.95,13.33,13.26,24.00,134.30,794.67,810.18,10.38,5699.73,422.00,25.00,–,–,48.00,48.00,14.50,46.00,3.00,404.00,88.00,206.50,1764.20,905.00
AKRON DIGITAL ACADEMY,Ohio,3900152,24.82,24.82,24.09,24.09,0,="0.56",2.50,21.76,0,63.77,10.83,1.00,–,–,="0.80",="0.80",0,0,3.12,11.28,0,0,4.22,7.70
AKRON SCHOOL DISTRICT NO. R-1,Colorado,="0802040",29.94,29.95,12.83,12.82,="0.19",1.50,12.09,16.16,†,60.60,12.45,="0.98",0,1.00,†,1.00,0,="0.92",2.00,="0.31",2.00,2.00,0,9.00
AKRON WESTFIELD COMM SCHOOL DISTRICT,Iowa,1903220,49.93,49.93,10.69,11.66,="0.50",5.45,20.38,23.60,†,83.43,8.20,0,0,1.00,†,1.00,1.00,0,2.60,1.50,2.00,1.70,0,15.50
AKRON-FAIRGROVE SCHOOLS,Michigan,2602010,16.81,16.81,19.33,19.16,0,1.00,6.33,8.15,1.33,39.41,5.73,="0.10",0,0,="0.40",="0.40",0,0,2.25,="0.60",0,4.25,0,9.27
AL INST DEAF AND BLIND,Alabama,="0100009",0,0,†,†,0,0,0,0,†,–,–,–,0,0,†,0,0,0,0,0,0,0,0,0
AL PRICE STATE JUVENILE CORRECTIONAL FACILITY,Texas,4800222,0,†,†,†,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
ALABAMA CLINICAL SCHOOL,Alabama,="0100183",0,†,†,†,0,0,0,0,†,–,–,–,0,0,†,0,0,0,0,0,0,0,0,0
ALABAMA CORRECTIONAL FACILITIES,Alabama,="0100176",0,†,†,†,0,0,0,0,†,–,–,–,0,0,†,0,0,0,0,0,0,0,0,0
ALABAMA SCHOOL OF FINE ARTS,Alabama,="0100018",0,0,†,†,0,0,0,0,†,–,–,–,0,0,†,0,0,0,0,0,0,0,0,0
ALABAMA YOUTH SERVICES,Alabama,="0100002",0,0,†,†,0,0,0,0,†,–,–,–,0,0,†,0,0,0,0,0,0,0,0,0
ALACHUA,Florida,1200030,1897.50,1762.50,14.64,15.76,23.00,118.50,666.00,667.00,423.00,4174.50,505.00,16.00,24.00,40.00,4.00,68.00,48.00,1.00,32.00,346.00,83.00,130.00,182.00,866.00
ALAMANCE-BURLINGTON SCHOOLS,North Carolina,3700030,1491.91,1489.25,15.26,15.18,23.94,0,737.86,727.45,2.66,2807.11,415.43,11.84,22.40,37.93,†,60.33,34.00,0,12.84,61.34,87.97,101.22,202.14,328.09
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,="0601355",–,†,†,†,–,–,–,–,†,–,0,–,–,–,†,–,–,–,0,–,0,–,0,0
ALAMEDA COUNTY OFFICE OF EDUCATION,California,="0691051",125.80,125.80,23.35,19.24,–,–,80.30,45.50,†,233.70,42.00,–,–,–,†,–,–,–,26.90,–,11.50,–,3.50,24.00
ALAMEDA UNIFIED,California,="0601770",513.82,513.82,20.38,20.30,–,–,343.53,170.29,†,701.22,89.00,–,–,–,†,–,–,–,4.00,–,27.50,–,35.90,31.00
ALAMO,Tennessee,4700030,41.00,40.00,16.05,16.45,4.00,4.00,32.00,0,1.00,83.20,18.00,="0.50",1.00,0,†,1.00,1.80,0,1.00,0,1.00,1.00,4.90,13.00
ALAMO HEIGHTS ISD,Texas,4807590,335.62,335.62,14.19,14.19,2.78,19.00,135.91,154.99,22.94,595.64,44.06,3.00,–,–,14.60,14.60,4.00,5.00,3.00,9.00,9.08,24.18,20.78,123.32
ALAMOGORDO PUBLIC SCHOOLS,New Mexico,3500030,410.89,404.09,15.23,15.49,11.00,23.00,127.00,174.67,75.22,914.57,110.30,8.40,3.60,13.00,†,16.60,4.00,11.00,13.00,2.00,17.80,77.00,74.58,169.00
ALAMOSA SCHOOL DISTRICT NO. RE-11J,Colorado,="0802070",134.27,140.32,15.24,14.58,0,10.90,68.67,54.70,†,260.14,21.09,1.20,3.00,6.46,†,9.46,2.01,3.54,2.00,11.18,8.46,14.59,4.99,47.35
ALANSON PUBLIC SCHOOLS,Michigan,2621810,22.26,22.26,15.14,15.00,0,2.00,9.46,7.80,3.00,28.41,0,0,0,0,†,0,0,0,2.34,0,0,0,0,3.81
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,="0200050",28.90,29.20,14.81,14.66,0,1.00,15.50,12.40,†,65.60,8.70,–,0,1.00,†,1.00,0,0,5.00,3.50,6.10,1.00,0,11.40
ALBA PUBLIC SCHOOLS,Michigan,2602040,16.46,16.46,13.06,12.94,="0.67",1.00,7.12,6.17,1.50,29.01,3.60,0,0,0,†,0,0,0,1.50,1.00,0,1.00,1.00,4.45
ALBA-GOLDEN ISD,Texas,4807650,74.00,†,11.76,11.76,2.00,3.00,29.78,37.35,1.87,140.38,21.00,0,–,–,3.00,3.00,1.00,1.00,2.00,5.00,2.00,2.91,1.00,27.47
ALBANY CITY SCHOOL DISTRICT,New York,3602460,699.21,699.86,12.05,12.04,20.48,41.95,262.48,237.63,136.67,1439.71,210.00,3.00,0,17.00,†,17.00,13.49,0,8.50,103.00,26.50,25.01,54.00,280.00
ALBANY CITY UNIFIED,California,="0601860",191.90,191.90,19.84,19.84,–,–,119.93,71.97,†,302.90,57.00,–,–,–,†,–,–,–,10.00,–,3.00,–,8.00,33.00
ALBANY COMMUNITY CHARTER SCHOOL,New York,3600162,18.99,19.00,15.90,15.89,0,3.00,14.99,0,1.00,18.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ALBANY COUNTY SCHOOL DISTRICT #1,Wyoming,5600730,316.66,316.60,11.48,11.48,1.50,14.00,149.26,151.90,†,674.37,105.92,13.67,9.00,14.30,†,23.30,7.09,9.96,7.00,19.83,14.50,23.05,23.10,110.29
ALBANY ISD,Texas,4807680,46.58,46.82,11.10,11.04,1.50,2.34,15.43,22.36,4.95,84.99,8.96,1.64,–,–,2.00,2.00,="0.54",0,2.00,1.90,2.08,2.72,1.40,15.17
ALBANY PREPARATORY CHARTER SCHOOL,New York,3600130,15.49,15.50,12.46,12.45,0,0,6.10,7.39,2.00,15.49,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ALBANY PUBLIC SCHOOL DISTRICT,Minnesota,2702930,104.73,102.42,15.58,15.85,4.67,5.00,47.31,45.90,1.85,197.09,22.21,="0.75",0,2.00,†,2.00,2.00,3.94,5.63,3.91,4.00,6.58,11.38,29.96
ALBANY R-III,Missouri,2902970,41.95,41.71,10.58,10.64,2.00,2.16,15.73,22.06,†,76.77,10.98,0,="0.50",="0.86",†,1.36,="0.48",1.00,1.00,4.00,2.00,0,2.00,12.00
ALBANY SCHOOL DISTRICT,New Hampshire,3301350,0,†,†,†,0,0,0,0,†,–,0,–,0,0,†,0,0,0,0,0,0,0,–,0
ALBANY SCHOOL DISTRICT,Wisconsin,5500120,38.81,38.81,9.51,9.51,2.00,2.00,15.98,18.83,0,68.51,9.10,1.20,0,0,1.00,1.00,="0.40",1.00,="0.95",1.00,2.05,2.00,2.50,8.50
ALBANY SCHOOL DISTRICT,Vermont,5001740,9.50,9.50,9.37,9.05,0,1.00,5.00,2.00,1.50,23.10,7.50,0,="0.40",="0.20",†,="0.60",0,1.00,0,0,1.00,1.00,0,2.50
ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES,New York,3680100,189.91,†,0,†,0,="0.75",7.34,59.02,122.80,289.01,0,3.00,5.00,5.00,†,10.00,1.00,0,8.10,0,11.00,16.90,49.10,0
ALBEMARLE CO PBLC SCHS,Virginia,5100090,788.66,788.67,16.53,16.53,16.50,52.40,315.40,404.36,†,2196.38,194.16,132.76,13.00,27.63,3.00,43.63,25.00,6.13,8.52,16.73,51.10,79.99,112.48,737.22
ALBERS SD 63,Illinois,1703270,15.50,14.50,13.10,14.00,1.00,1.00,10.50,3.00,0,16.50,–,0,0,0,†,0,0,–,1.00,–,0,–,0,–
ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT,Iowa,1900031,12.61,12.61,19.19,8.33,1.18,1.42,10.01,0,†,27.11,3.10,1.00,0,0,†,0,0,1.00,1.50,0,1.00,="0.50",="0.70",5.70
ALBERT GALLATIN AREA SD,Pennsylvania,4202100,262.90,262.90,13.99,13.99,0,15.70,126.30,111.20,9.70,447.50,10.00,2.50,3.20,4.80,†,8.00,6.00,7.00,4.00,11.00,11.50,15.00,="0.10",109.50
ALBERT LEA PUBLIC SCHOOL DISTRICT,Minnesota,2702970,214.35,209.35,15.37,15.81,5.00,12.40,99.85,95.71,1.39,446.50,82.76,13.47,0,3.00,†,3.00,3.50,2.75,8.63,12.50,8.00,18.14,25.43,53.97
ALBERTON K-12 SCHOOLS,Montana,3001860,17.25,17.26,8.75,8.75,–,–,10.45,6.80,†,20.79,1.28,0,="0.39",="0.14",†,="0.53",="0.45",–,="0.58",–,="0.70",–,0,–
ALBERTVILLE CITY,Alabama,="0100005",244.07,241.07,16.81,17.02,4.00,29.00,116.50,94.57,†,438.08,–,–,4.50,3.50,†,8.00,7.00,4.50,5.01,14.85,14.00,21.65,7.50,111.50
ALBIA COMM SCHOOL DISTRICT,Iowa,1903270,87.80,87.00,14.05,13.33,2.80,5.51,37.18,42.31,†,161.20,17.90,0,1.00,2.00,†,3.00,1.00,1.90,2.00,2.60,5.00,7.80,1.00,31.20
ALBION,Oklahoma,4002580,6.50,6.50,18.00,18.00,0,="0.80",5.70,0,†,19.30,5.00,0,="0.20",0,†,="0.20",="0.50",0,="0.80",0,0,1.30,0,5.00
ALBION CENTRAL SCHOOL DISTRICT,New York,3602520,171.33,163.96,13.24,13.83,2.00,9.89,67.02,71.43,20.99,289.57,25.00,3.50,1.33,6.66,†,7.99,3.00,1.00,3.00,18.50,6.00,3.75,7.00,39.50
ALBION PUBLIC SCHOOLS,Michigan,2602070,69.00,69.00,15.52,15.36,1.00,4.00,19.00,30.00,15.00,126.77,20.25,1.20,0,1.00,†,1.00,1.00,0,4.00,1.00,4.00,5.75,5.25,14.32
ALBUQUERQUE PUBLIC SCHOOLS,New Mexico,3500060,6529.29,6319.26,14.79,15.12,71.90,384.25,2199.15,2425.00,1448.99,13161.63,1832.18,385.65,86.20,134.31,7.50,228.01,91.17,2.50,317.36,19.53,366.87,1115.51,872.82,1400.74
ALBURG SCHOOL DISTRICT,Vermont,5001770,24.60,24.60,9.72,7.93,0,2.33,12.97,2.70,6.60,46.40,10.25,0,="0.75",="0.25",†,1.00,1.00,0,0,0,2.00,2.00,1.80,3.75
ALBURNETT COMM SCHOOL DISTRICT,Iowa,1903300,36.26,36.26,15.42,16.91,0,2.34,14.04,19.88,†,68.26,9.00,0,1.00,0,†,1.00,1.00,="0.50",1.50,4.50,2.00,0,0,12.50
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,South Dakota,4600028,31.68,31.68,9.88,9.94,1.00,1.00,17.18,10.99,1.51,57.37,9.50,0,–,–,1.00,1.00,="0.80",1.00,2.22,0,1.44,3.00,1.48,5.25
ALCOA,Tennessee,4700060,108.51,103.51,16.23,17.01,5.00,8.00,58.14,36.37,1.00,216.51,40.00,1.00,2.00,1.00,1.00,4.00,7.00,2.00,1.00,0,6.00,3.00,6.00,38.00
ALCONA COMMUNITY SCHOOLS,Michigan,2602160,51.49,51.49,17.63,17.46,0,2.00,15.50,28.00,5.99,93.49,11.00,="0.10",0,0,†,0,0,0,3.90,1.00,2.00,2.00,1.00,21.00
